countrycode,country,currency_unit,year,pop,rgdpo,rgdpe,cgdpo,cgdpe,ccon,cda,ck,ctfp,cwtfp,rgdpo_pc,rgdpe_pc,cgdpo_pc,cgdpe_pc,ccon_pc,cda_pc,ck_pc,invest
USA,United States,US Dollar,1982,233.95387399999998,6.731911e6,6.643039e6,6.7404795e6,6.7115815e6,5.103149e6,6.7517105e6,2.2291624e7,1.0,1.0,28774.5224513786,28394.652699788167,28811.147192202512,28687.627117471886,21812.62875775248,28859.152381464733,95282.13240871576,1.6485615e6
USA,United States,US Dollar,1983,236.161961,7.040408e6,6.9878115e6,7.0475265e6,7.0495525e6,5.379821e6,7.149925e6,2.2221318e7,1.0,1.0,29811.77819742105,29589.064514924146,29841.92064699192,29850.499505295014,22780.218191023574,30275.515030974868,94093.55302567122,1.770104e6
USA,United States,US Dollar,1984,238.404223,7.580414e6,7.5569715e6,7.5544055e6,7.5850515e6,5.6209415e6,7.7780235e6,2.259106e7,1.0,1.0,31796.475350187065,31698.144457785045,31687.38122562535,31815.927606282377,23577.357100759076,32625.35957678904,94759.4791557027,2.157082e6
USA,United States,US Dollar,1985,240.691557,7.8601985e6,7.884135e6,7.8734035e6,7.9340735e6,5.9477035e6,8.142341e6,2.3116866e7,1.0,1.0,32656.727132310672,32756.175988341794,32711.58987932427,32963.65522285437,24710.893785111042,33828.9431564897,96043.5267781329,2.1946375e6
USA,United States,US Dollar,1986,243.032017,8.117222e6,8.1440595e6,8.1459555e6,8.193805e6,6.2179e6,8.42926e6,2.4094266e7,1.0,1.0,33399.80509646184,33510.23293363031,33518.03437487004,33714.919956410515,25584.694875819594,34683.74292429133,99140.2955767758,2.21136e6
USA,United States,US Dollar,1987,245.425409,8.401659e6,8.399763e6,8.425694e6,8.436682e6,6.410715e6,8.68752e6,2.4884122e7,1.0,1.0,34233.0447129865,34225.319351510174,34330.9767082837,34375.747948738266,26120.828426530195,35397.80186329444,101391.79191507428,2.276805e6
USA,United States,US Dollar,1988,247.86520199999998,8.74726e6,8.748274e6,8.774641e6,8.782349e6,6.668091e6,8.965433e6,2.5577166e7,1.0,1.0,35290.39142816022,35294.48236142482,35400.858729657426,35431.95627758995,26902.08607822247,36170.599695555495,103189.82169994157,2.297342e6
USA,United States,US Dollar,1989,250.34079499999999,9.055775e6,9.065519e6,9.092621e6,9.086377e6,6.8969415e6,9.225619e6,2.6087662e7,1.0,1.0,36173.78861483603,36212.711555861286,36320.971977419824,36296.02997785479,27550.210104589627,36852.23976379879,104208.59293028929,2.3286775e6
USA,United States,US Dollar,1990,252.84780999999998,9.203558e6,9.203227e6,9.259567e6,9.259331e6,7.180793e6,9.379958e6,2.645321e7,1.0,1.0,36399.59547207469,36398.286384208746,36621.10816779469,36620.174800011126,28399.664604569844,37097.248340810234,104621.07621181295,2.199165e6
USA,United States,US Dollar,1991,255.36715999999998,9.171585e6,9.19171e6,9.248708e6,9.244829e6,7.177849e6,9.287654e6,2.658627e7,1.0,1.0,35915.287619598384,35994.09571692774,36217.29591228567,36202.106018643906,28107.956402851487,36369.80573383046,104109.98031226882,2.109805e6
USA,United States,US Dollar,1992,257.908206,9.50917e6,9.530917e6,9.573914e6,9.58517e6,7.3932615e6,9.636033e6,2.6769574e7,1.0,1.0,36870.36619532765,36954.68689352211,37121.40124769818,37165.04468260308,28666.251511206276,37362.25826021216,103794.96804378531,2.2427715e6
USA,United States,US Dollar,1993,260.52742,9.786068e6,9.827602e6,9.835906e6,9.882773e6,7.598004e6,9.976447e6,2.7514982e7,1.0,1.0,37562.52604812192,37721.94880677051,37753.82261107103,37933.715383969946,29163.93214963707,38293.27062771358,105612.6145954234,2.378443e6
USA,United States,US Dollar,1994,263.30132299999997,1.0205495e7,1.0262589e7,1.0232211e7,1.0252747e7,7.875691e6,1.0382788e7,2.8433732e7,1.0,1.0,38759.75587103298,38976.594887827436,38861.22136955613,38939.215660530506,29911.323309226216,39433.10227879106,107989.32445926222,2.507097e6
USA,United States,US Dollar,1995,266.275528,1.050127e7,1.0550124e7,1.051955e7,1.0526347e7,8.14143e6,1.064963e7,2.9573488e7,1.0,1.0,39437.608400874145,39621.08001152851,39506.25909565373,39531.78528670498,30575.209299744587,39994.77563706117,111063.4845872881,2.5082e6
